tissue,cell_type,gene
adipose tissue,Adipocyte,ACVR1C
adipose tissue,Adipocyte,ADIPOQ
adipose tissue,Adipocyte,AOC3
adipose tissue,Adipocyte,CD137
adipose tissue,Adipocyte,CIDEA
adipose tissue,Adipocyte,CITED1
adipose tissue,Adipocyte,EPSTI1
adipose tissue,Adipocyte,EVA1
adipose tissue,Adipocyte,FABP4
adipose tissue,Adipocyte,FGF7
adipose tissue,Adipocyte,H6PD
adipose tissue,Adipocyte,HOXC8
adipose tissue,Adipocyte,HOXC9
adipose tissue,Adipocyte,LEP
adipose tissue,Adipocyte,LHX8
adipose tissue,Adipocyte,MEST
adipose tissue,Adipocyte,P2RX5
adipose tissue,Adipocyte,PLIN1
adipose tissue,Adipocyte,PPARG
adipose tissue,Adipocyte,PPARGC1A
adipose tissue,Adipocyte,PRDM16
adipose tissue,Adipocyte,SHOX2
adipose tissue,Adipocyte,SLC2A4
adipose tissue,Adipocyte,SLC36A2
adipose tissue,Adipocyte,TBX1
adipose tissue,Adipocyte,TMEM26
adipose tissue,Adipocyte,TNFRSF9
adipose tissue,Adipocyte,UCP1
adipose tissue,Adipocyte,ZIC1
adipose tissue,Adipose-derived stem cell,CD10
adipose tissue,Adipose-derived stem cell,CD105
adipose tissue,Adipose-derived stem cell,CD106
adipose tissue,Adipose-derived stem cell,CD13
adipose tissue,Adipose-derived stem cell,CD144
adipose tissue,Adipose-derived stem cell,CD146
adipose tissue,Adipose-derived stem cell,CD166
adipose tissue,Adipose-derived stem cell,CD29
adipose tissue,Adipose-derived stem cell,CD34
adipose tissue,Adipose-derived stem cell,CD44
adipose tissue,Adipose-derived stem cell,CD49D
adipose tissue,Adipose-derived stem cell,CD54
adipose tissue,Adipose-derived stem cell,CD55
adipose tissue,Adipose-derived stem cell,CD59
adipose tissue,Adipose-derived stem cell,CD59A
adipose tissue,Adipose-derived stem cell,CD71
adipose tissue,Adipose-derived stem cell,CD73
adipose tissue,Adipose-derived stem cell,CD9
adipose tissue,Adipose-derived stem cell,CD90
adipose tissue,Adipose-derived stem cell,COL5A2
adipose tissue,Adipose-derived stem cell,COL6A3
adipose tissue,Adipose-derived stem cell,COLCE2
adipose tissue,Adipose-derived stem cell,DCN
adipose tissue,Adipose-derived stem cell,EPHX1
adipose tissue,Adipose-derived stem cell,HLA-ABC
adipose tissue,Adipose-derived stem cell,IGFBP7
adipose tissue,Adipose-derived stem cell,ITGA4
adipose tissue,Adipose-derived stem cell,MT1E
adipose tissue,Adipose-derived stem cell,NGPTL2
adipose tissue,Adipose-derived stem cell,PDGFRA
adipose tissue,Adipose-derived stem cell,SAMSN1
adipose tissue,Adipose-derived stem cell,SEMA3C
adipose tissue,Adipose-derived stem cell,SH3
adipose tissue,Adipose-derived stem cell,SOD3
adipose tissue,Adipose-derived stem cell,STRO-1
adipose tissue,Adipose-derived stem cell,TFRCÂ 
adipose tissue,Adipose-derived stem cell,THY1
adipose tissue,Adipose-derived stem cell,TNXB
adipose tissue,B cell,B3GAT1
adipose tissue,B cell,BACH2
adipose tissue,B cell,BANK1
adipose tissue,B cell,BCL11A
adipose tissue,B cell,BIRC3
adipose tissue,B cell,BLNK
adipose tissue,B cell,BST1
adipose tissue,B cell,BTLA
adipose tissue,B cell,CCR7
adipose tissue,B cell,CD14
adipose tissue,B cell,CD19
adipose tissue,B cell,CD2
adipose tissue,B cell,CD22
adipose tissue,B cell,CD24
adipose tissue,B cell,CD27
adipose tissue,B cell,CD38
adipose tissue,B cell,CD40
adipose tissue,B cell,CD5
adipose tissue,B cell,CD52
adipose tissue,B cell,CD55
adipose tissue,B cell,CD69
adipose tissue,B cell,CD70
adipose tissue,B cell,CD72
adipose tissue,B cell,CD74
adipose tissue,B cell,CD79A
adipose tissue,B cell,CD79B
adipose tissue,B cell,CD80
adipose tissue,B cell,CD86
adipose tissue,B cell,CMAH
adipose tissue,B cell,CR2
adipose tissue,B cell,CRELD2
adipose tissue,B cell,CXCR4
adipose tissue,B cell,DERL3
adipose tissue,B cell,DNTT
adipose tissue,B cell,DOK3
adipose tissue,B cell,EAF2
adipose tissue,B cell,EBF1
adipose tissue,B cell,EDEM1
adipose tissue,B cell,EDEM2
adipose tissue,B cell,FAM129C
adipose tissue,B cell,FAM46C
adipose tissue,B cell,FCER2
adipose tissue,B cell,FCER2A
adipose tissue,B cell,FCHSD2
adipose tissue,B cell,FCMR
adipose tissue,B cell,FCRLA
adipose tissue,B cell,FKBP11
adipose tissue,B cell,FLI1
adipose tissue,B cell,H2-DMB2
adipose tissue,B cell,H2-OA
adipose tissue,B cell,H2-OB
adipose tissue,B cell,HLA-DQA1
adipose tissue,B cell,HLA-DRA
adipose tissue,B cell,HMGA1
adipose tissue,B cell,HVCN1
adipose tissue,B cell,IFIT3
adipose tissue,B cell,IGHA
adipose tissue,B cell,IGHD
adipose tissue,B cell,IGHG1
adipose tissue,B cell,IGHG3
adipose tissue,B cell,IGHG4
adipose tissue,B cell,IGHM
adipose tissue,B cell,IGKC
adipose tissue,B cell,IGLC1
adipose tissue,B cell,IGLC2
adipose tissue,B cell,IGLC3
adipose tissue,B cell,IGLL1
adipose tissue,B cell,IGLV1
adipose tissue,B cell,IL21R
adipose tissue,B cell,JCHAIN
adipose tissue,B cell,KLHL6
adipose tissue,B cell,LAIR1
adipose tissue,B cell,LRMP
adipose tissue,B cell,LTB
adipose tissue,B cell,LY6D
adipose tissue,B cell,MME
adipose tissue,B cell,MS4A1
adipose tissue,B cell,MSH5
adipose tissue,B cell,MUM1
adipose tissue,B cell,MZB1
adipose tissue,B cell,PAX5
adipose tissue,B cell,PDCD1
adipose tissue,B cell,POLD4
adipose tissue,B cell,POU2AF1
adipose tissue,B cell,PTPRC
adipose tissue,B cell,PXK
adipose tissue,B cell,RALGPS2
adipose tissue,B cell,RASGRP3
adipose tissue,B cell,SCD1
adipose tissue,B cell,SDC1
adipose tissue,B cell,SEC61A1
adipose tissue,B cell,SEMA6D
adipose tissue,B cell,SIGLECG
adipose tissue,B cell,SLAMF6
adipose tissue,B cell,SMAP2
adipose tissue,B cell,SPCS3
adipose tissue,B cell,SPIB
adipose tissue,B cell,SPN
adipose tissue,B cell,SWAP70
adipose tissue,B cell,TLR9
adipose tissue,B cell,TNFRSF13B
adipose tissue,B cell,TNFRSF13C
adipose tissue,B cell,TNFRSF17
adipose tissue,B cell,TNFRSF9
adipose tissue,B cell,TNFSF4
adipose tissue,B cell,TRP53INP1
adipose tissue,B cell,TXNDC11
adipose tissue,B cell,VPREB1
adipose tissue,B cell,VPREB2
adipose tissue,B cell,VPREB3
adipose tissue,Basophil,ACSS2
adipose tissue,Basophil,ADORA2B
adipose tissue,Basophil,ALOX8
adipose tissue,Basophil,AQP9
adipose tissue,Basophil,BACE1
adipose tissue,Basophil,BMP4
adipose tissue,Basophil,CABLES1
adipose tissue,Basophil,CCL3
adipose tissue,Basophil,CCL4
adipose tissue,Basophil,CCL9
adipose tissue,Basophil,CCR3
adipose tissue,Basophil,CD33
adipose tissue,Basophil,CD44
adipose tissue,Basophil,CD69
adipose tissue,Basophil,CDH1
adipose tissue,Basophil,CEBPA
adipose tissue,Basophil,CPA3
adipose tissue,Basophil,DEFB40
adipose tissue,Basophil,DNASE2B
adipose tissue,Basophil,E2F8
adipose tissue,Basophil,ENPP3
adipose tissue,Basophil,FADS1
adipose tissue,Basophil,FADS2
adipose tissue,Basophil,FAR2
adipose tissue,Basophil,FBXO9
adipose tissue,Basophil,FCER1A
adipose tissue,Basophil,GABBR1
adipose tissue,Basophil,GATA2
adipose tissue,Basophil,GM9895
adipose tissue,Basophil,GPC4
adipose tissue,Basophil,GPR183
adipose tissue,Basophil,GPR97
adipose tissue,Basophil,GRM6
adipose tissue,Basophil,HDC
adipose tissue,Basophil,HGF
adipose tissue,Basophil,HIST1H1D
adipose tissue,Basophil,HIST1H2AC
adipose tissue,Basophil,HTR1B
adipose tissue,Basophil,ID1
adipose tissue,Basophil,IFITM1
adipose tissue,Basophil,IGFBP7
adipose tissue,Basophil,IL3RA
adipose tissue,Basophil,IL4
adipose tissue,Basophil,IL4R
adipose tissue,Basophil,INF2
adipose tissue,Basophil,ITGAL
adipose tissue,Basophil,ITGAM
adipose tissue,Basophil,ITGAX
adipose tissue,Basophil,ITGB7
adipose tissue,Basophil,JAZF1
adipose tissue,Basophil,L1CAM
adipose tissue,Basophil,LAMA5
adipose tissue,Basophil,LTC4S
adipose tissue,Basophil,MBOAT1
adipose tissue,Basophil,MCPT8
adipose tissue,Basophil,MRGPRA6
adipose tissue,Basophil,MS4A2
adipose tissue,Basophil,MS4A3
adipose tissue,Basophil,NFIL3
adipose tissue,Basophil,NPL
adipose tissue,Basophil,NT5C3
adipose tissue,Basophil,OSBPL5
adipose tissue,Basophil,OTUB2
adipose tissue,Basophil,P2RY1
adipose tissue,Basophil,PDK3
adipose tissue,Basophil,PDZD4
adipose tissue,Basophil,PERP
adipose tissue,Basophil,PIGY
adipose tissue,Basophil,PLEKHG5
adipose tissue,Basophil,PLG
adipose tissue,Basophil,PRSS34
adipose tissue,Basophil,RNF39
adipose tissue,Basophil,SLC26A3
adipose tissue,Basophil,SLC26A8
adipose tissue,Basophil,SNCAIP
adipose tissue,Basophil,ST6GALNAC5
adipose tissue,Basophil,SUPT3H
adipose tissue,Basophil,TEC
adipose tissue,Basophil,TLR4
adipose tissue,Basophil,TULP3
adipose tissue,Basophil,UNC93A
adipose tissue,Basophil,WRN
adipose tissue,Brown fat cell,ASC-1
adipose tissue,Brown fat cell,P2RX5
adipose tissue,Brown fat cell,PAT2
adipose tissue,Brown fat cell,SLC36A2
adipose tissue,Brown fat cell,SLC7A10
adipose tissue,Dendritic cell,ADAM19
adipose tissue,Dendritic cell,ADGRE1
adipose tissue,Dendritic cell,AIF1
adipose tissue,Dendritic cell,ANXA1
adipose tissue,Dendritic cell,ASS1
adipose tissue,Dendritic cell,AXL
adipose tissue,Dendritic cell,BATF3
adipose tissue,Dendritic cell,BTLA
adipose tissue,Dendritic cell,CADM1
adipose tissue,Dendritic cell,CCL22
adipose tissue,Dendritic cell,CCR2
adipose tissue,Dendritic cell,CCR7
adipose tissue,Dendritic cell,CD14
adipose tissue,Dendritic cell,CD180
adipose tissue,Dendritic cell,CD83
adipose tissue,Dendritic cell,CD86
adipose tissue,Dendritic cell,CLEC7A
adipose tissue,Dendritic cell,CLEC9A
adipose tissue,Dendritic cell,CX3CR1
adipose tissue,Dendritic cell,CXCL16
adipose tissue,Dendritic cell,CXCR3
adipose tissue,Dendritic cell,CXCR4
adipose tissue,Dendritic cell,DAB2
adipose tissue,Dendritic cell,DNASE1L3
adipose tissue,Dendritic cell,DPP4
adipose tissue,Dendritic cell,ETV6
adipose tissue,Dendritic cell,FABP4
adipose tissue,Dendritic cell,FCGR2B
adipose tissue,Dendritic cell,FGD2
adipose tissue,Dendritic cell,FLT3
adipose tissue,Dendritic cell,GPR132
adipose tissue,Dendritic cell,H2-AB1
adipose tissue,Dendritic cell,H2-DMA
adipose tissue,Dendritic cell,H2-EB1
adipose tissue,Dendritic cell,H2AFY
adipose tissue,Dendritic cell,HCK
adipose tissue,Dendritic cell,HFE
adipose tissue,Dendritic cell,IRF8
adipose tissue,Dendritic cell,ITGAE
adipose tissue,Dendritic cell,ITGAX
adipose tissue,Dendritic cell,LGALS3
adipose tissue,Dendritic cell,LST1
adipose tissue,Dendritic cell,NAAA
adipose tissue,Dendritic cell,NAPSA
adipose tissue,Dendritic cell,NR4A3
adipose tissue,Dendritic cell,P2RY10
adipose tissue,Dendritic cell,PLAC8
adipose tissue,Dendritic cell,PLBD1
adipose tissue,Dendritic cell,PPP1R14A
adipose tissue,Dendritic cell,PTPRC
adipose tissue,Endothelial cell,ABCG2
adipose tissue,Endothelial cell,ACVRL1
adipose tissue,Endothelial cell,ADAMTS1
adipose tissue,Endothelial cell,ADGRF5
adipose tissue,Endothelial cell,ADGRL4
adipose tissue,Endothelial cell,APLNR
adipose tissue,Endothelial cell,APOLD1
adipose tissue,Endothelial cell,AQP1
adipose tissue,Endothelial cell,CAV1
adipose tissue,Endothelial cell,CD34
adipose tissue,Endothelial cell,CD9
adipose tissue,Endothelial cell,CD93
adipose tissue,Endothelial cell,CDH5
adipose tissue,Endothelial cell,CLDN5
adipose tissue,Endothelial cell,CLEC14A
adipose tissue,Endothelial cell,CLIC4
adipose tissue,Endothelial cell,ECE1
adipose tissue,Endothelial cell,ECSCR
adipose tissue,Endothelial cell,EGFL7
adipose tissue,Endothelial cell,ELK3
adipose tissue,Endothelial cell,EMCN
adipose tissue,Endothelial cell,ENG
adipose tissue,Endothelial cell,EPAS1
adipose tissue,Endothelial cell,ETS1
adipose tissue,Endothelial cell,FLI1
adipose tissue,Endothelial cell,FLT1
adipose tissue,Endothelial cell,GNG11
adipose tissue,Endothelial cell,GPIHBP1
adipose tissue,Endothelial cell,ID1
adipose tissue,Endothelial cell,ID3
adipose tissue,Endothelial cell,IFI27
adipose tissue,Endothelial cell,IGFBP7
adipose tissue,Endothelial cell,KDR
adipose tissue,Endothelial cell,MFSD2A
adipose tissue,Endothelial cell,NOSTRIN
adipose tissue,Endothelial cell,PALMD
adipose tissue,Endothelial cell,PECAM1
adipose tissue,Endothelial cell,PLVAP
adipose tissue,Endothelial cell,PODXL
adipose tissue,Endothelial cell,PTPRB
adipose tissue,Hematopoietic cell,GATA2
adipose tissue,Hematopoietic cell,KIT
adipose tissue,Hematopoietic cell,PTPRC
adipose tissue,Hematopoietic cell,SLAMF1
adipose tissue,Hematopoietic cell,SPI1
adipose tissue,Hematopoietic cell,THY1
adipose tissue,Luminal epithelial cell,AGR2
adipose tissue,Luminal epithelial cell,ANKRD30A
adipose tissue,Luminal epithelial cell,ANXA1
adipose tissue,Luminal epithelial cell,AQP3
adipose tissue,Luminal epithelial cell,AR
adipose tissue,Luminal epithelial cell,AREG
adipose tissue,Luminal epithelial cell,ATP2C2
adipose tissue,Luminal epithelial cell,ATP7B
adipose tissue,Luminal epithelial cell,BTG1
adipose tissue,Luminal epithelial cell,CD74
adipose tissue,Luminal epithelial cell,CD9
adipose tissue,Luminal epithelial cell,CEBPD
adipose tissue,Luminal epithelial cell,CLDN4
adipose tissue,Luminal epithelial cell,DDR1
adipose tissue,Luminal epithelial cell,FGFR4
adipose tissue,Luminal epithelial cell,FGG
adipose tissue,Luminal epithelial cell,HIF1A
adipose tissue,Luminal epithelial cell,HMGA1
adipose tissue,Luminal epithelial cell,KRT18
adipose tissue,Luminal epithelial cell,KRT19
adipose tissue,Luminal epithelial cell,KRT23
adipose tissue,Luminal epithelial cell,KRT8
adipose tissue,Luminal epithelial cell,LCN2
adipose tissue,Luminal epithelial cell,LTF
adipose tissue,Luminal epithelial cell,PGR
adipose tissue,Luminal epithelial cell,PIP
adipose tissue,Luminal epithelial cell,PROM1
adipose tissue,Luminal epithelial cell,PTH1R
adipose tissue,Luminal epithelial cell,SAA2
adipose tissue,Luminal epithelial cell,SERPINA1
adipose tissue,Luminal epithelial cell,SERPINB3
adipose tissue,Luminal epithelial cell,SERPINB4
adipose tissue,Luminal epithelial cell,SLC12A2
adipose tissue,Luminal epithelial cell,SLPI
adipose tissue,Luminal epithelial cell,STC2
adipose tissue,Luminal epithelial cell,SYTL2
adipose tissue,Luminal epithelial cell,TNFSF10
adipose tissue,Luminal epithelial cell,UXT
adipose tissue,Luminal epithelial cell,WFDC2
adipose tissue,Luminal epithelial cell,WNT5A
adipose tissue,Macrophage,ADGRE1
adipose tissue,Macrophage,CCL2
adipose tissue,Macrophage,CCL5
adipose tissue,Macrophage,CD11B
adipose tissue,Macrophage,CD11C
adipose tissue,Macrophage,CD14
adipose tissue,Macrophage,CD16
adipose tissue,Macrophage,CD206
adipose tissue,Macrophage,CD274
adipose tissue,Macrophage,CD32
adipose tissue,Macrophage,CD45
adipose tissue,Macrophage,CD68
adipose tissue,Macrophage,CHIL3
adipose tissue,Macrophage,CLEC10A
adipose tissue,Macrophage,F4/80
adipose tissue,Macrophage,FCGR2A
adipose tissue,Macrophage,FCGR2B
adipose tissue,Macrophage,FCGR2C
adipose tissue,Macrophage,FCGR3A
adipose tissue,Macrophage,FCGR3B
adipose tissue,Macrophage,FCGR4
adipose tissue,Macrophage,IL-6
adipose tissue,Macrophage,IL18
adipose tissue,Macrophage,IL1B
adipose tissue,Macrophage,IL6
adipose tissue,Macrophage,ITGAM
adipose tissue,Macrophage,ITGAX
adipose tissue,Macrophage,MAC-1
adipose tissue,Macrophage,MRC1
adipose tissue,Macrophage,NOS2
adipose tissue,Macrophage,PTPRC
adipose tissue,Macrophage,TNF
adipose tissue,Macrophage,TNF-ALPHA
adipose tissue,Mammary epithelial cell,ABCG2
adipose tissue,Mammary epithelial cell,ALDH1A3
adipose tissue,Mammary epithelial cell,ANO1
adipose tissue,Mammary epithelial cell,BTN1A1
adipose tissue,Mammary epithelial cell,BTN2A2
adipose tissue,Mammary epithelial cell,BTN3A1
adipose tissue,Mammary epithelial cell,CDH1
adipose tissue,Mammary epithelial cell,CITED1
adipose tissue,Mammary epithelial cell,CLDN1
adipose tissue,Mammary epithelial cell,CLDN4
adipose tissue,Mammary epithelial cell,CSN1S1
adipose tissue,Mammary epithelial cell,CSN1S2A
adipose tissue,Mammary epithelial cell,CSN2
adipose tissue,Mammary epithelial cell,CSN3
adipose tissue,Mammary epithelial cell,FFAR1
adipose tissue,Mammary epithelial cell,FOXP4
adipose tissue,Mammary epithelial cell,IRF6
adipose tissue,Mammary epithelial cell,KDM3A
adipose tissue,Mammary epithelial cell,KRT14
adipose tissue,Mammary epithelial cell,KRT17
adipose tissue,Mammary epithelial cell,KRT18
adipose tissue,Mammary epithelial cell,KRT19
adipose tissue,Mammary epithelial cell,KRT5
adipose tissue,Mammary epithelial cell,KRT7
adipose tissue,Mammary epithelial cell,KRT8
adipose tissue,Mammary epithelial cell,LIF
adipose tissue,Mammary epithelial cell,LSR
adipose tissue,Mammary epithelial cell,MMP14
adipose tissue,Mammary epithelial cell,NEDD9
adipose tissue,Mammary epithelial cell,NNMT
adipose tissue,Mammary epithelial cell,PADI2
adipose tissue,Mammary epithelial cell,PIEZO1
adipose tissue,Mammary epithelial cell,PIP
adipose tissue,Mammary epithelial cell,PRLR
adipose tissue,Mammary epithelial cell,PYGO2
adipose tissue,Mammary epithelial cell,RARRES1
adipose tissue,Mammary epithelial cell,RUNX2
adipose tissue,Mammary epithelial cell,SERPINB5
adipose tissue,Mammary epithelial cell,SGMS2
adipose tissue,Mammary epithelial cell,SLC30A2
adipose tissue,Mammary epithelial cell,STAT3
adipose tissue,Mammary epithelial cell,SULT1E1
adipose tissue,Mammary epithelial cell,TOX3
adipose tissue,Mammary epithelial cell,WAP
adipose tissue,Mammary epithelial cell,WFDC18
adipose tissue,Mammary epithelial cell,WNT5B
adipose tissue,Mast cell,ADCYAP1
adipose tissue,Mast cell,ADORA3
adipose tissue,Mast cell,BTK
adipose tissue,Mast cell,CD117
adipose tissue,Mast cell,CPA3
adipose tissue,Mast cell,CSF2RB2
adipose tissue,Mast cell,CSF2RBP1
adipose tissue,Mast cell,FCER1A
adipose tissue,Mast cell,GATA2
adipose tissue,Mast cell,GRAP2
adipose tissue,Mast cell,HDC
adipose tissue,Mast cell,HPGDS
adipose tissue,Mast cell,IL18R1
adipose tissue,Mast cell,IL1RL1
adipose tissue,Mast cell,IL2RA
adipose tissue,Mast cell,IL4
adipose tissue,Mast cell,KIT
adipose tissue,Mast cell,MAOB
adipose tissue,Mast cell,MCPT4
adipose tissue,Mast cell,MLPH
adipose tissue,Mast cell,MRGPRB1
adipose tissue,Mast cell,MS4A2
adipose tissue,Mast cell,RGS13
adipose tissue,Mast cell,SLC18A2
adipose tissue,Mast cell,SLC24A3
adipose tissue,Mast cell,SLC8A3
adipose tissue,Mast cell,TESPA1
adipose tissue,Mast cell,TPSAB1
adipose tissue,Mast cell,TPSB2
adipose tissue,Mast cell,TPSD1
adipose tissue,Monocyte,CD68
adipose tissue,Monocyte,CTSS
adipose tissue,Monocyte,FCN1
adipose tissue,Monocyte,FCNA
adipose tissue,Monocyte,IFI211
adipose tissue,Monocyte,LYZ
adipose tissue,Monocyte,LYZ1
adipose tissue,Monocyte,MNDA
adipose tissue,Monocyte,NEAT1
adipose tissue,Monocyte,PSAP
adipose tissue,Monocyte,S100A9
adipose tissue,Monocyte,SERPINA1
adipose tissue,Monocyte,TYROBP
adipose tissue,Natural killer cell,CD158
adipose tissue,Natural killer cell,CD16
adipose tissue,Natural killer cell,CD314
adipose tissue,Natural killer cell,CD56
adipose tissue,Natural killer cell,CD94
adipose tissue,Natural killer cell,FASL
adipose tissue,Natural killer cell,FASLG
adipose tissue,Natural killer cell,FCGR3A
adipose tissue,Natural killer cell,FCGR3B
adipose tissue,Natural killer cell,FCGR4
adipose tissue,Natural killer cell,KLRD1
adipose tissue,Natural killer cell,KLRK1
adipose tissue,Natural killer cell,NCAM1
adipose tissue,Natural killer cell,NCR1
adipose tissue,Natural killer cell,NKP46
adipose tissue,Neuron,AAK1
adipose tissue,Neuron,ABAT
adipose tissue,Neuron,ARHGDIG
adipose tissue,Neuron,ATP6V0A1
adipose tissue,Neuron,BEX1
adipose tissue,Neuron,BEX2
adipose tissue,Neuron,CACNA2D2
adipose tissue,Neuron,CAMK2N1
adipose tissue,Neuron,CBARP
adipose tissue,Neuron,CHD6
adipose tissue,Neuron,CKMT1
adipose tissue,Neuron,CLSTN3
adipose tissue,Neuron,CNTNAP2
adipose tissue,Neuron,COPG1
adipose tissue,Neuron,DISP2
adipose tissue,Neuron,DLGAP1
adipose tissue,Neuron,DNER
adipose tissue,Neuron,DNM3
adipose tissue,Neuron,DTD1
adipose tissue,Neuron,DUSP26
adipose tissue,Neuron,ELAVL3
adipose tissue,Neuron,ENO2
adipose tissue,Neuron,FRRS1L
adipose tissue,Neuron,GABRA1
adipose tissue,Neuron,GABRG2
adipose tissue,Neuron,GAD1
adipose tissue,Neuron,GNAI1
adipose tissue,Neuron,GNL3L
adipose tissue,Neuron,GPRASP2
adipose tissue,Neuron,GRM5
adipose tissue,Neuron,HAP1
adipose tissue,Neuron,HDAC11
adipose tissue,Neuron,KCNC1
adipose tissue,Neuron,KCNMA1
adipose tissue,Neuron,MAP7D2
adipose tissue,Neuron,MATK
adipose tissue,Neuron,MEG3
adipose tissue,Neuron,MYO5A
adipose tissue,Neuron,NAPG
adipose tissue,Neuron,NCALD
adipose tissue,Neuron,NDN
adipose tissue,Neuron,NRSN2
adipose tissue,Neuron,PACSIN1
adipose tissue,Neuron,PCLO
adipose tissue,Neuron,PCP4
adipose tissue,Neuron,PNCK
adipose tissue,Neuron,PNISR
adipose tissue,Neuron,PNMAL1
adipose tissue,Neuron,PPP1R9A
adipose tissue,Neuron,PRUNE2
adipose tissue,Pericyte,ACTA2
adipose tissue,Pericyte,CACNA1C
adipose tissue,Pericyte,CARMN
adipose tissue,Pericyte,CCDC102B
adipose tissue,Pericyte,CD146
adipose tissue,Pericyte,COL25A1
adipose tissue,Pericyte,DLC1
adipose tissue,Pericyte,HS6ST3
adipose tissue,Pericyte,KCNAB1
adipose tissue,Pericyte,LDB3
adipose tissue,Pericyte,LMOD1
adipose tissue,Pericyte,MAP1B
adipose tissue,Pericyte,MCAM
adipose tissue,Pericyte,MYH11
adipose tissue,Pericyte,NTRK3
adipose tissue,Pericyte,PDGFRB
adipose tissue,Pericyte,PDZRN4
adipose tissue,Pericyte,PRKG1
adipose tissue,Pericyte,PRR16
adipose tissue,Pericyte,RGS5
adipose tissue,Platelet,ALDH2
adipose tissue,Platelet,ALOX12
adipose tissue,Platelet,ALOX5AP
adipose tissue,Platelet,ARHGDIB
adipose tissue,Platelet,ATP2A3
adipose tissue,Platelet,BIN2
adipose tissue,Platelet,CD226
adipose tissue,Platelet,CD84
adipose tissue,Platelet,CD9
adipose tissue,Platelet,CLEC1B
adipose tissue,Platelet,F13A1
adipose tissue,Platelet,F5
adipose tissue,Platelet,FERMT3
adipose tissue,Platelet,FHL1
adipose tissue,Platelet,GNG11
adipose tissue,Platelet,GP1BA
adipose tissue,Platelet,GP1BB
adipose tissue,Platelet,GP5
adipose tissue,Platelet,GP9
adipose tissue,Platelet,GPX1
adipose tissue,Platelet,GRAP2
adipose tissue,Platelet,HIST1H2BC
adipose tissue,Platelet,ITGA2B
adipose tissue,Platelet,ITGB2
adipose tissue,Platelet,ITGB3
adipose tissue,Platelet,LAPTM5
adipose tissue,Platelet,LYZ2
adipose tissue,Platelet,MFSD2B
adipose tissue,Platelet,MMRN1
adipose tissue,Platelet,MPL
adipose tissue,Platelet,MYL9
adipose tissue,Platelet,NRGN
adipose tissue,Platelet,OST4
adipose tissue,Platelet,PDLIM1
adipose tissue,Platelet,PF4
adipose tissue,Platelet,PLEK
adipose tissue,Platelet,PPBP
adipose tissue,Platelet,PPDPF
adipose tissue,Platelet,PRKAR2B
adipose tissue,Platelet,PTGS1
adipose tissue,T cell,BCL11B
adipose tissue,T cell,CAMK4
adipose tissue,T cell,CD247
adipose tissue,T cell,CD28
adipose tissue,T cell,CD3D
adipose tissue,T cell,CD3E
adipose tissue,T cell,CD3G
adipose tissue,T cell,CD96
adipose tissue,T cell,CXCR6
adipose tissue,T cell,FAM189B
adipose tissue,T cell,GIMAP3
adipose tissue,T cell,GIMAP3P
adipose tissue,T cell,GM10260
adipose tissue,T cell,IL7R
adipose tissue,T cell,ITK
adipose tissue,T cell,LEF1
adipose tissue,T cell,LINC01934
adipose tissue,T cell,LTB
adipose tissue,T cell,RAPGEF6
adipose tissue,T cell,RASGRP1
adipose tissue,T cell,RHOH
adipose tissue,T cell,RPL12
adipose tissue,T cell,RPLP1
adipose tissue,T cell,RPS16
adipose tissue,T cell,RPS18-PS6
adipose tissue,T cell,RPS23
adipose tissue,T cell,RPS4X
adipose tissue,T cell,SATB1
adipose tissue,T cell,SLFN12L
adipose tissue,T cell,SOCS2
adipose tissue,T cell,THEMIS
adipose tissue,T cell,TMSB10
adipose tissue,T cell,TPT1
adipose tissue,T memory cell,ACP5
adipose tissue,T memory cell,APBB1IP
adipose tissue,T memory cell,ARHGAP15
adipose tissue,T memory cell,ARHGAP45
adipose tissue,T memory cell,ARHGEF1
adipose tissue,T memory cell,BCL2
adipose tissue,T memory cell,BIN2
adipose tissue,T memory cell,CCR5
adipose tissue,T memory cell,CCR6
adipose tissue,T memory cell,CCR7
adipose tissue,T memory cell,CD2
adipose tissue,T memory cell,CD247
adipose tissue,T memory cell,CD27
adipose tissue,T memory cell,CD28
adipose tissue,T memory cell,CD3D
adipose tissue,T memory cell,CD3E
adipose tissue,T memory cell,CD3G
adipose tissue,T memory cell,CD4
adipose tissue,T memory cell,CD69
adipose tissue,T memory cell,CD7
adipose tissue,T memory cell,CXCR6
adipose tissue,T memory cell,CYTIP
adipose tissue,T memory cell,DGKA
adipose tissue,T memory cell,ENPP1
adipose tissue,T memory cell,EPSTI1
adipose tissue,T memory cell,GIMAP1
adipose tissue,T memory cell,GIMAP3
adipose tissue,T memory cell,GIMAP4
adipose tissue,T memory cell,GRAP2
adipose tissue,T memory cell,H2-Q7
adipose tissue,T memory cell,H2-T23
adipose tissue,T memory cell,ICOS
adipose tissue,T memory cell,IKZF1
adipose tissue,T memory cell,IL7R
adipose tissue,T memory cell,ITGAE
adipose tissue,T memory cell,ITGB5
adipose tissue,T memory cell,ITGB7
adipose tissue,T memory cell,KPNA4
adipose tissue,T memory cell,LAT
adipose tissue,T memory cell,LCK
adipose tissue,T memory cell,LEF1
adipose tissue,T memory cell,LTB
adipose tissue,T memory cell,MIR142HG
adipose tissue,T memory cell,MS4A4B
adipose tissue,T memory cell,MS4A6B
adipose tissue,T memory cell,NKG7
